Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,6710719,-,b'Salta',b'Argentina',-24.76,-65.39,-3,1293,-3,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.2
Year,Month,Day,Hour,Minute,Clearsky GHI,Temperature,DHI,GHI,DNI
2019,1,1,17,20,598,28.6,279,459,301
2019,1,1,17,30,560,28.400000000000002,245,456,374
2019,1,1,17,40,522,28.1,254,339,158
2019,1,1,17,50,483,27.900000000000002,235,309,148
2019,1,1,18,0,444,27.6,215,289,158
2019,1,1,18,10,404,27.400000000000002,196,256,140
2019,1,1,18,20,365,27.1,176,227,128
2019,1,1,18,30,325,26.8,158,207,136
2019,1,1,18,40,287,26.6,136,207,219
2019,1,1,18,50,248,26.3,119,177,200
2019,1,1,19,0,209,26,102,148,177
2019,1,1,19,10,172,25.8,86,121,156
2019,1,1,19,20,136,25.6,70,96,142
2019,1,1,19,30,102,25.3,55,73,125
2019,1,1,19,40,71,25.1,40,51,100
2019,1,1,19,50,44,24.8,27,32,72
2019,1,1,20,0,22,24.6,16,16,0
2019,1,1,20,10,0,24.6,0,0,0
2019,1,1,20,20,0,24.6,0,0,0
2019,1,1,20,30,0,24.6,0,0,0
2019,1,1,20,40,0,24.6,0,0,0
2019,1,1,20,50,0,24.6,0,0,0
2019,1,1,21,0,0,24.1,0,0,0
2019,1,1,21,10,0,24.1,0,0,0
2019,1,1,21,20,0,24,0,0,0
2019,1,1,21,30,0,23.900000000000002,0,0,0
2019,1,1,21,40,0,23.900000000000002,0,0,0
2019,1,1,21,50,0,23.8,0,0,0
2019,1,1,22,0,0,23.8,0,0,0
2019,1,1,22,10,0,23.700000000000003,0,0,0
2019,1,1,22,20,0,23.6,0,0,0
2019,1,1,22,30,0,23.6,0,0,0
2019,1,1,22,40,0,23.5,0,0,0
2019,1,1,22,50,0,23.5,0,0,0
2019,1,1,23,0,0,23.400000000000002,0,0,0
2019,1,1,23,10,0,23.3,0,0,0
2019,1,1,23,20,0,23.3,0,0,0
2019,1,1,23,30,0,23.200000000000003,0,0,0
2019,1,1,23,40,0,23.1,0,0,0
2019,1,1,23,50,0,23.1,0,0,0
2019,1,2,0,0,0,23,0,0,0
2019,1,2,0,10,0,23,0,0,0
2019,1,2,0,20,0,22.900000000000002,0,0,0
2019,1,2,0,30,0,22.900000000000002,0,0,0
2019,1,2,0,40,0,22.8,0,0,0
2019,1,2,0,50,0,22.8,0,0,0
2019,1,2,1,0,0,22.700000000000003,0,0,0
2019,1,2,1,10,0,22.700000000000003,0,0,0
2019,1,2,1,20,0,22.6,0,0,0
2019,1,2,1,30,0,22.6,0,0,0
2019,1,2,1,40,0,22.6,0,0,0
2019,1,2,1,50,0,22.5,0,0,0
2019,1,2,2,0,0,22.5,0,0,0
2019,1,2,2,10,0,22.5,0,0,0
2019,1,2,2,20,0,22.400000000000002,0,0,0
2019,1,2,2,30,0,22.400000000000002,0,0,0
2019,1,2,2,40,0,22.400000000000002,0,0,0
2019,1,2,2,50,0,22.3,0,0,0
2019,1,2,3,0,0,22.3,0,0,0
2019,1,2,3,10,0,22.3,0,0,0
2019,1,2,3,20,0,22.3,0,0,0
2019,1,2,3,30,0,22.3,0,0,0
2019,1,2,3,40,0,22.3,0,0,0
2019,1,2,3,50,0,22.3,0,0,0
2019,1,2,4,0,0,22.3,0,0,0
2019,1,2,4,10,0,22.3,0,0,0
2019,1,2,4,20,0,22.3,0,0,0
2019,1,2,4,30,0,22.3,0,0,0
2019,1,2,4,40,0,22.3,0,0,0
2019,1,2,4,50,0,22.3,0,0,0
2019,1,2,5,0,0,22.3,0,0,0
2019,1,2,5,10,0,22.3,0,0,0
2019,1,2,5,20,0,22.3,0,0,0
2019,1,2,5,30,0,22.3,0,0,0
2019,1,2,5,40,0,22.3,0,0,0
2019,1,2,5,50,0,22.3,0,0,0
2019,1,2,6,0,0,22.3,0,0,0
2019,1,2,6,10,0,22.5,0,0,0
2019,1,2,6,20,0,22.6,0,0,0
2019,1,2,6,30,0,22.8,0,0,0
2019,1,2,6,40,0,23,0,0,0
2019,1,2,6,50,21,23.200000000000003,14,14,0
2019,1,2,7,0,44,23.400000000000002,17,17,0
2019,1,2,7,10,71,23.8,21,21,0
2019,1,2,7,20,103,24.200000000000003,28,28,0
2019,1,2,7,30,137,24.6,50,50,0
2019,1,2,7,40,173,25,82,88,27
2019,1,2,7,50,211,25.3,102,121,77
2019,1,2,8,0,249,25.700000000000003,105,203,337
2019,1,2,8,10,289,26.1,113,244,403
2019,1,2,8,20,328,26.5,128,278,416
2019,1,2,8,30,368,26.900000000000002,137,319,460
2019,1,2,8,40,408,27.3,73,408,779
2019,1,2,8,50,448,27.6,75,448,801
2019,1,2,9,0,487,28,78,487,821
2019,1,2,9,10,526,28.3,80,526,838
2019,1,2,9,20,564,28.700000000000003,83,564,854
2019,1,2,9,30,601,29,84,601,868
2019,1,2,9,40,639,29.3,86,639,882
2019,1,2,9,50,675,29.6,88,675,894
2019,1,2,10,0,710,29.900000000000002,90,710,905
2019,1,2,10,10,743,30.1,92,743,913
2019,1,2,10,20,776,30.3,93,776,922
2019,1,2,10,30,807,30.5,95,807,930
2019,1,2,10,40,837,30.700000000000003,97,837,935
2019,1,2,10,50,866,30.900000000000002,99,866,942
2019,1,2,11,0,893,31.1,100,893,948
2019,1,2,11,10,919,31.200000000000003,101,919,954
2019,1,2,11,20,943,31.3,102,943,959
2019,1,2,11,30,964,31.400000000000002,103,964,962
2019,1,2,11,40,986,31.5,101,986,970
2019,1,2,11,50,1005,31.6,102,1005,973
2019,1,2,12,0,1023,31.700000000000003,103,1023,977
2019,1,2,12,10,1038,31.8,523,779,268
2019,1,2,12,20,1051,31.8,530,790,269
2019,1,2,12,30,1063,31.8,104,1063,983
2019,1,2,12,40,1071,31.8,109,1071,978
2019,1,2,12,50,1079,31.8,110,1079,980
2019,1,2,13,0,1085,31.900000000000002,110,1085,981
2019,1,2,13,10,1088,31.8,110,1088,980
2019,1,2,13,20,1090,31.700000000000003,110,1090,981
2019,1,2,13,30,1091,31.6,110,1091,981
2019,1,2,13,40,1087,31.5,115,1087,975
2019,1,2,13,50,1083,31.400000000000002,115,1083,974
2019,1,2,14,0,1078,31.3,114,1078,973
2019,1,2,14,10,1069,31.200000000000003,114,1069,970
2019,1,2,14,20,1059,31.1,114,1059,969
2019,1,2,14,30,1048,31,114,1048,966
2019,1,2,14,40,1027,31,137,1027,930
2019,1,2,14,50,1011,30.900000000000002,136,1011,927
2019,1,2,15,0,994,30.8,473,886,445
2019,1,2,15,10,975,30.700000000000003,446,805,394
2019,1,2,15,20,953,30.6,437,786,389
2019,1,2,15,30,931,30.5,468,712,278
2019,1,2,15,40,907,30.400000000000002,467,623,182
2019,1,2,15,50,881,30.3,452,601,178
2019,1,2,16,0,854,30.200000000000003,430,529,121
2019,1,2,16,10,825,30.1,421,551,165
2019,1,2,16,20,795,29.900000000000002,404,526,159
2019,1,2,16,30,764,29.8,376,580,274
2019,1,2,16,40,732,29.6,369,505,190
2019,1,2,16,50,699,29.5,351,478,184
2019,1,2,17,0,664,29.400000000000002,329,412,126
2019,1,2,17,10,627,29.200000000000003,292,333,66
2019,1,2,17,20,591,29,271,308,61
2019,1,2,17,30,554,28.8,252,283,56
2019,1,2,17,40,516,28.6,255,342,162
2019,1,2,17,50,478,28.400000000000002,235,312,152
2019,1,2,18,0,439,28.200000000000003,216,296,172
2019,1,2,18,10,400,27.900000000000002,194,286,213
2019,1,2,18,20,360,27.700000000000003,175,255,199
2019,1,2,18,30,321,27.400000000000002,146,256,300
2019,1,2,18,40,282,27.1,123,236,340
2019,1,2,18,50,243,26.900000000000002,108,203,325
2019,1,2,19,0,206,26.6,103,146,165
2019,1,2,19,10,169,26.400000000000002,86,123,164
2019,1,2,19,20,134,26.1,71,97,141
2019,1,2,19,30,100,25.900000000000002,56,70,96
2019,1,2,19,40,70,25.6,41,52,99
2019,1,2,19,50,43,25.400000000000002,27,31,49
2019,1,2,20,0,21,25.1,16,16,0
2019,1,2,20,10,0,25.1,0,0,0
2019,1,2,20,20,0,25.1,0,0,0
2019,1,2,20,30,0,25.1,0,0,0
2019,1,2,20,40,0,25.1,0,0,0
2019,1,2,20,50,0,25.1,0,0,0
2019,1,2,21,0,0,24.700000000000003,0,0,0
2019,1,2,21,10,0,24.700000000000003,0,0,0
2019,1,2,21,20,0,24.700000000000003,0,0,0
2019,1,2,21,30,0,24.700000000000003,0,0,0
2019,1,2,21,40,0,24.6,0,0,0
2019,1,2,21,50,0,24.6,0,0,0
2019,1,2,22,0,0,24.6,0,0,0
2019,1,2,22,10,0,24.6,0,0,0
2019,1,2,22,20,0,24.6,0,0,0
2019,1,2,22,30,0,24.6,0,0,0
2019,1,2,22,40,0,24.6,0,0,0
2019,1,2,22,50,0,24.6,0,0,0
2019,1,2,23,0,0,24.6,0,0,0
2019,1,2,23,10,0,24.5,0,0,0
2019,1,2,23,20,0,24.5,0,0,0
2019,1,2,23,30,0,24.5,0,0,0
2019,1,2,23,40,0,24.400000000000002,0,0,0
2019,1,2,23,50,0,24.400000000000002,0,0,0
2019,1,3,0,0,0,24.3,0,0,0
2019,1,3,0,10,0,24.200000000000003,0,0,0
2019,1,3,0,20,0,24.1,0,0,0
2019,1,3,0,30,0,24.1,0,0,0
2019,1,3,0,40,0,24,0,0,0
2019,1,3,0,50,0,23.900000000000002,0,0,0
2019,1,3,1,0,0,23.8,0,0,0
2019,1,3,1,10,0,23.700000000000003,0,0,0
2019,1,3,1,20,0,23.6,0,0,0
